x,y,z
602.2280647790849,222.39324424896188,b
618.6744423176046,231.75540712376244,b
581.2035529719642,249.42820714395907,b
609.4065272366448,212.9100715184241,b
604.41529820772,268.604090634924,b
621.3650124170343,239.69279464407663,b
610.5619383077574,190.8777845205832,b
601.7559825081719,244.50380202489612,b
614.0698101531046,237.6673569410097,b
134.3191914827239,221.6046384431262,c
107.50521277140925,179.61521268402595,c
114.44241819023314,250.77656218569837,c
146.83439369569606,256.3722853376072,c
131.2021771513962,199.69123895010785,c
53.193950352755735,231.49033283500802,c
131.21032782175067,204.53628010728426,c
163.6568291296509,292.22015131650613,c
174.08016080978243,246.13414812459845,c
169.04722824381122,254.02939886142545,c
156.9921467041472,275.66697882380663,c
190.87819816577823,279.1702388416109,c
185.3658065093315,254.70790125813326,c
210.20513131639996,271.5195527819569,c
191.98143441703363,307.2401016229295,c
218.73930559671655,305.714507356133,c
253.07087010493044,317.2060487097742,c
235.67110421614925,270.942581670796,c
259.3570054115602,285.3329562440206,c
235.2934366841075,302.5313422123121,c
256.572164134119,331.60046959857175,c
291.10403135164387,306.72491626659576,c
241.4291582588247,348.6659395589202,c
279.8870610336538,348.00433408165213,c
286.3519036216341,337.4559521380651,c
259.8084075479843,327.57130875071744,c
267.9641328867057,344.7831777468883,c
303.2637259292291,313.1109563168973,c
296.83239160937416,331.5939675771043,c
309.1698213405476,380.66131739995956,c
298.16761868356747,342.2341474085625,c
303.993679728959,369.58715570602453,c
323.12739751348926,352.56209939490253,c
317.96924880024557,315.2711332852605,c
384.8734724542625,391.15917363892913,c
311.0119720680716,383.6320254032066,c
395.2719307774855,385.997488605889,c
366.951028842763,371.3950704846761,c
403.74823170775005,387.6319049165011,c
405.0177682705779,411.00334988347066,c
342.1171009678173,398.72248447535185,c
435.15415051375305,395.1483224475404,c
419.9636645330406,385.2697746332216,c
402.9162362573946,423.18310937629195,c
402.34384507012885,412.4090554752172,c
427.90241691398825,404.32935815096795,c
411.4783338517019,389.5414473598477,c
463.4895574344759,448.7427795834191,c
436.483803177669,416.39169676718404,c
416.23681447077826,434.3955381431889,c
463.79600786737774,463.20515793593063,c
471.00169508967633,478.44700225032017,c
432.8367220569175,464.4605221995367,c
417.34957556623004,410.8010970243617,c
456.9927006192938,434.6077857529488,c
436.60702260381356,454.72732971365537,c
504.78531779568783,463.97329732916216,c
428.58295422011554,422.1533101540223,c
451.7085283056151,460.666376158314,c
466.19784644106517,447.7916225880299,c
510.5777570995541,435.2978822051457,c
424.58205989014385,428.3391212096933,c
494.13198074030095,493.7731296165011,c
484.0168734373731,426.7249057457266,c
